Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Away,SET PIECE,KICK OFF,1,51,2.04,51,2.04,Player23,,,,,
Away,PASS,,1,51,2.04,87,3.48,Player23,Player20,0.0,-0.0,-10.599999999999998,-0.6800000000000006
Away,PASS,,1,146,5.84,186,7.44,Player20,Player18,-7.420000000000001,-0.0,-6.359999999999999,19.040000000000003
Away,PASS,,1,248,9.92,283,11.32,Player18,Player17,-3.180000000000003,21.08,-20.14,14.959999999999997
Away,PASS,,1,316,12.64,346,13.84,Player17,Player16,-22.26,12.24,-25.439999999999998,-5.439999999999998
Away,PASS,,1,395,15.8,423,16.92,Player16,Player15,-25.439999999999998,-10.880000000000003,-24.38,-27.880000000000003
Away,BALL LOST,INTERCEPTION,1,451,18.04,504,20.16,Player15,,-25.439999999999998,-28.560000000000002,14.840000000000002,-29.240000000000002
Away,CHALLENGE,GROUND-LOST,1,504,20.16,504,20.16,Player23,,11.659999999999998,-29.240000000000002,,
Home,CHALLENGE,GROUND-WON,1,504,20.16,504,20.16,Player3,,12.719999999999999,-28.560000000000002,,
Home,RECOVERY,INTERCEPTION,1,504,20.16,504,20.16,Player3,,12.719999999999999,-28.560000000000002,,
Home,BALL OUT,,1,504,20.16,534,21.36,Player3,,12.719999999999999,-28.560000000000002,4.240000000000004,-34.68
Away,SET PIECE,THROW IN,1,672,26.88,672,26.88,Player15,,,,,
Away,PASS,,1,672,26.88,722,28.88,Player15,Player16,0.0,-34.68,-18.02,-28.560000000000002
Away,PASS,,1,768,30.72,808,32.32,Player16,Player17,-22.26,-23.119999999999997,-28.62,-2.040000000000002
Away,PASS,,1,855,34.2,925,37.0,Player17,Player16,-29.680000000000003,-0.6800000000000006,-28.62,-25.16
Away,PASS,,1,925,37.0,947,37.88,Player16,Player15,-28.62,-25.16,-23.319999999999997,-33.32
Away,PASS,,1,956,38.24,1016,40.64,Player15,Player16,-23.319999999999997,-33.32,-37.099999999999994,-27.200000000000003
Away,BALL LOST,INTERCEPTION,1,1016,40.64,1087,43.48,Player16,,-37.099999999999994,-27.200000000000003,1.060000000000001,-13.599999999999998
Home,CHALLENGE,AERIAL-WON,1,1084,43.36,1084,43.36,Player6,,1.060000000000001,-17.0,,
Home,RECOVERY,INTERCEPTION,1,1084,43.36,1084,43.36,Player6,,1.060000000000001,-17.0,,
Home,BALL LOST,HEAD-INTERCEPTION,1,1084,43.36,1121,44.84,Player6,,1.060000000000001,-17.0,-12.719999999999999,-8.84
Away,CHALLENGE,AERIAL-LOST,1,1087,43.48,1087,43.48,Player23,,0.0,-17.0,,
Away,RECOVERY,INTERCEPTION,1,1121,44.84,1121,44.84,Player21,,-8.480000000000002,-10.880000000000003,,
Away,PASS,,1,1155,46.2,1170,46.8,Player21,Player20,-10.599999999999998,-11.560000000000002,-14.840000000000002,-10.200000000000001
Away,PASS,,1,1170,46.8,1224,48.96,Player20,Player18,-14.840000000000002,-10.200000000000001,-14.840000000000002,17.68
Away,PASS,,1,1289,51.56,1319,52.76,Player18,Player24,-1.060000000000001,21.76,12.719999999999999,21.76
Away,BALL LOST,INTERCEPTION,1,1392,55.68,1429,57.16,Player24,,23.319999999999997,31.28,39.22,25.16
Home,RECOVERY,INTERCEPTION,1,1431,57.24,1431,57.24,Player1,,39.22,25.16,,
Home,PASS,,1,1467,58.68,1489,59.56,Player1,Player11,46.63999999999999,21.08,53.0,10.200000000000001
Home,PASS,,1,1489,59.56,1578,63.12,Player11,Player9,53.0,10.200000000000001,9.539999999999997,24.48
Away,CHALLENGE,AERIAL-LOST,1,1576,63.04,1576,63.04,Player18,,9.539999999999997,24.48,,
Home,CHALLENGE,AERIAL-WON,1,1578,63.12,1578,63.12,Player9,,9.539999999999997,24.48,,
Home,BALL LOST,INTERCEPTION,1,1578,63.12,1611,64.44,Player9,,9.539999999999997,24.48,2.120000000000002,14.280000000000001
Away,RECOVERY,INTERCEPTION,1,1610,64.4,1610,64.4,Player16,,0.0,14.280000000000001,,
Away,BALL LOST,HEAD-INTERCEPTION,1,1610,64.4,1673,66.92,Player16,,0.0,14.280000000000001,21.199999999999996,12.24
Home,RECOVERY,INTERCEPTION,1,1672,66.88,1672,66.88,Player6,,19.080000000000005,14.959999999999997,,
Home,PASS,HEAD,1,1672,66.88,1693,67.72,Player6,Player7,19.080000000000005,14.959999999999997,19.080000000000005,8.84
Home,BALL LOST,HEAD,1,1693,67.72,1724,68.96,Player7,,19.080000000000005,8.84,19.080000000000005,10.879999999999999
Away,RECOVERY,,1,1721,68.84,1721,68.84,Player24,,18.020000000000003,11.559999999999999,,
Away,PASS,,1,1721,68.84,1753,70.12,Player24,Player21,18.020000000000003,11.559999999999999,8.479999999999995,4.08
Away,PASS,,1,1780,71.2,1843,73.72,Player21,Player15,9.539999999999997,1.3600000000000012,6.360000000000006,-23.119999999999997
Away,BALL LOST,INTERCEPTION,1,1843,73.72,1876,75.04,Player15,,6.360000000000006,-23.119999999999997,20.139999999999993,-14.959999999999997
Home,RECOVERY,INTERCEPTION,1,1874,74.96,1874,74.96,Player7,,19.080000000000005,-14.279999999999998,,
Home,BALL LOST,INTERCEPTION,1,1874,74.96,1918,76.72,Player7,,19.080000000000005,-14.279999999999998,8.479999999999995,-24.48
Away,RECOVERY,,1,1915,76.6,1915,76.6,Player15,,6.360000000000006,-25.84,,
Away,PASS,,1,1936,77.44,1993,79.72,Player15,Player16,4.240000000000004,-25.84,-16.959999999999997,-15.639999999999999
Away,PASS,,1,2024,80.96,2079,83.16,Player16,Player17,-19.08,-12.240000000000004,-19.08,8.16
Away,PASS,,1,2199,87.96,2241,89.64,Player17,Player16,-12.719999999999999,8.16,-16.959999999999997,-12.240000000000004
Away,PASS,,1,2285,91.4,2320,92.8,Player16,Player15,-15.900000000000002,-14.279999999999998,-7.420000000000001,-29.919999999999995
Away,PASS,,1,2350,94.0,2370,94.8,Player15,Player19,-7.420000000000001,-30.599999999999998,3.180000000000003,-34.0
Away,BALL LOST,INTERCEPTION,1,2370,94.8,2417,96.68,Player19,,3.180000000000003,-34.0,15.900000000000002,-19.720000000000002
Home,RECOVERY,INTERCEPTION,1,2414,96.56,2414,96.56,Player3,,16.960000000000004,-24.48,,
Home,PASS,,1,2414,96.56,2440,97.6,Player3,Player8,16.960000000000004,-24.48,1.060000000000001,-29.919999999999995
Home,PASS,,1,2465,98.6,2493,99.72,Player8,Player4,2.120000000000002,-29.919999999999995,10.599999999999998,-31.959999999999997
Home,PASS,,1,2511,100.44,2546,101.84,Player4,Player3,11.659999999999998,-31.959999999999997,27.560000000000002,-25.16
Home,PASS,,1,2603,104.12,2708,108.32,Player3,Player1,29.680000000000003,-20.400000000000002,3.180000000000003,29.92
Home,PASS,,1,2708,108.32,2734,109.36,Player1,Player5,3.180000000000003,29.92,10.599999999999998,25.16
Home,PASS,,1,2789,111.56,2811,112.44,Player5,Player6,6.360000000000006,29.92,5.300000000000004,14.959999999999997
Home,PASS,,1,2906,116.24,2923,116.92,Player6,Player10,-2.120000000000002,8.84,-18.02,6.120000000000002
Home,PASS,,1,2923,116.92,2968,118.72,Player10,Player1,-18.02,6.120000000000002,-14.840000000000002,29.92
Home,BALL LOST,INTERCEPTION,1,2997,119.88,3037,121.48,Player1,,-16.959999999999997,31.28,-32.86,14.280000000000001
Away,RECOVERY,INTERCEPTION,1,3035,121.4,3035,121.4,Player17,,-31.799999999999997,11.559999999999999,,
Away,PASS,,1,3069,122.76,3131,125.24,Player17,Player18,-36.04,14.959999999999997,-33.92,31.28
Away,BALL LOST,,1,3131,125.24,3217,128.68,Player18,,-33.92,31.28,5.300000000000004,12.92
Home,RECOVERY,,1,3215,128.6,3215,128.6,Player3,,4.240000000000004,12.24,,
Home,PASS,,1,3248,129.92,3311,132.44,Player3,Player11,8.479999999999995,15.639999999999999,38.16,3.3999999999999995
Home,PASS,,1,3344,133.76,3392,135.68,Player11,Player2,38.16,3.3999999999999995,23.319999999999997,25.84
Home,PASS,,1,3427,137.08,3455,138.2,Player2,Player5,20.139999999999993,25.84,9.539999999999997,24.48
Home,PASS,,1,3509,140.36,3526,141.04,Player5,Player9,7.419999999999995,25.16,-7.420000000000001,25.16
Home,PASS,,1,3603,144.12,3641,145.64,Player9,Player6,-13.780000000000001,27.880000000000003,-8.480000000000002,14.959999999999997
Home,PASS,,1,3661,146.44,3675,147.0,Player6,Player9,-10.599999999999998,15.639999999999999,-10.599999999999998,21.08
Home,PASS,,1,3675,147.0,3718,148.72,Player9,Player4,-10.599999999999998,21.08,-1.060000000000001,-4.080000000000004
Home,PASS,,1,3749,149.96,3797,151.88,Player4,Player8,-3.180000000000003,-6.119999999999997,-21.200000000000003,-30.599999999999998
Home,PASS,,1,3828,153.12,3875,155.0,Player8,Player7,-23.319999999999997,-29.919999999999995,-37.099999999999994,-29.240000000000002
Home,PASS,,1,3934,157.36,3959,158.36,Player7,Player4,-31.799999999999997,-29.919999999999995,-18.02,-23.799999999999997
Home,PASS,,1,4030,161.2,4054,162.16,Player4,Player6,-23.319999999999997,-25.84,-21.200000000000003,-16.32
Home,PASS,,1,4075,163.0,4097,163.88,Player6,Player5,-21.200000000000003,-16.32,-20.14,-5.439999999999998
Home,PASS,,1,4132,165.28,4177,167.08,Player5,Player1,-20.14,-3.400000000000003,-30.740000000000002,29.24
Home,PASS,,1,4223,168.92,4253,170.12,Player1,Player5,-31.799999999999997,28.56,-25.439999999999998,13.600000000000001
Home,PASS,,1,4261,170.44,4291,171.64,Player5,Player9,-25.439999999999998,13.600000000000001,-36.04,14.959999999999997
Home,PASS,,1,4291,171.64,4334,173.36,Player9,Player1,-36.04,14.959999999999997,-37.099999999999994,25.84
Home,PASS,,1,4361,174.44,4376,175.04,Player1,Player9,-40.28,27.200000000000003,-45.58,17.68
